"Aata (Wheat, flour, local or hyv)",,9,3.2,165,7.6,9.4,13.3,1.6,0,0,17.7,7.2,20.7,13.4,4.7,0,1.7,7.6,17.6
"Bajra (Millet, pearl, flour, local)",,39,13.6,567,26.2,42.8,43,16.1,0,0,44.2,29,42.6,42.4,16.3,0,7.3,47,41.5
"Bhains ka dudh (Milk, buffalo, whole fat)",,14,4.7,543,25.1,4.2,5.6,9.2,1.9,1.1,3.4,12.3,0.3,1.5,1.4,38.1,15.5,1.1,2
Breast milk,,194,67.1,0,0,38.1,21.5,67.6,28.4,36.9,21.9,27.9,20.6,8.5,27.5,57.3,29.8,0,15.4
"Chauli, Hara saag (Leaf, amaranth, green, raw)",,9,2.9,113,5.2,0.6,1.8,0.2,18.6,15,1.4,6.3,3.3,7.7,12.1,0,8,15.3,5.5
"Choti Machli (Fish, small, fresh, fresh water)",<,1,0.2,34,1.6,0.2,1,0.1,0,0,0.6,0.2,0.7,0.3,0.1,4.6,0,0.2,0.2
" (Coriander leaf, raw)",<,1,0.1,21,1,0.4,0.5,0.5,0.1,0.2,0.5,0.5,0.5,2.2,1.9,0,1,2.5,1.1
"Lal saag (Leaf, amaranth, red, raw)",,17,5.9,485,22.4,1.7,8.2,0.5,39.8,34.2,2.8,9.1,6.7,15.5,24.2,0,24,21.9,10.8
"Methi Saag (Leaf, fenugreek, raw)",,5,1.7,182,8.4,0.8,2.3,0.4,11.2,12.5,3.3,6.4,2.1,6.4,8.8,0,10.9,2.1,1.2
"Sarson (Mustard, seeds)",,1,0.4,52,2.4,1.8,2.8,3.8,0,0,4.2,1.3,2.4,2.2,3.1,0,1.7,2.3,4.7
,,,,,,,,,,,,,,,,,,,
Total,,289,100,"2,161",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
% target met,,,,,,100,192,102,234,192,102,134,187,117,110,100,100,111,101
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
